Name of Institution,State Name,Total Student Enrolment,Number of Teachers,Year
Bangalore University,Karnataka,8350,415,2022
University of Mysore,Karnataka,8700,430,2022
Gulbarga University,Karnataka,9050,445,2022
University of Burdwan,West Bengal,9400,460,2022
North Bengal University,West Bengal,9750,475,2022
Ranchi University,Jharkhand,10100,490,2022
Vinoba Bhave University,Jharkhand,10450,505,2022
Utkal University,Odisha,10800,520,2022
Sambalpur University,Odisha,11150,535,2022
Berhampur University,Odisha,11500,550,2022
Guru Ghasidas Vishwavidyalaya,Chhattisgarh,11850,565,2022
Pt. Ravishankar Shukla University,Chhattisgarh,12200,580,2022
Devi Ahilya Vishwavidyalaya,Madhya Pradesh,12550,595,2022
Jiwaji University,Madhya Pradesh,12900,610,2022
Rani Durgavati Vishwavidyalaya,Madhya Pradesh,13250,625,2022
Dr. Harisingh Gour Vishwavidyalaya,Madhya Pradesh,13600,640,2022
Mahatma Gandhi University Kottayam,Kerala,13950,655,2022
Calicut University,Kerala,14300,670,2022
Kannur University,Kerala,14650,685,2022
Sree Sankaracharya University of Sanskrit,Kerala,15000,700,2022
Maharaja Ganga Singh University,Rajasthan,15350,715,2022
Mohanlal Sukhadia University,Rajasthan,15700,730,2022
Jai Narain Vyas University,Rajasthan,16050,745,2022
Veer Surendra Sai University of Technology,Odisha,16400,760,2022
Indira Gandhi National Open University,Delhi,16750,775,2022
English and Foreign Languages University,Telangana,17100,790,2022
Central University of Punjab,Punjab,17450,805,2022
Central University of Gujarat,Gujarat,17800,820,2022
Central University of Kashmir,Jammu and Kashmir,18150,835,2022
Central University of Himachal Pradesh,Himachal Pradesh,18500,850,2022
Central University of Haryana,Haryana,18850,865,2022
Central University of Jharkhand,Jharkhand,19200,880,2022
Central University of Karnataka,Karnataka,19550,895,2022
Central University of Kerala,Kerala,19900,910,2022
Central University of Tamil Nadu,Tamil Nadu,20250,925,2022
Central University of Rajasthan,Rajasthan,20600,940,2022
Central University of South Bihar,Bihar,20950,955,2022
Central University of Jammu,Jammu and Kashmir,21300,970,2022
