institution_name,state,nirf_rank,naac_cgpa,student_enrollment,faculty_count
Shanmugha Arts Science Technology and Research Academy,Tamil Nadu,44,3.4,12000,650
Kalinga Institute of Industrial Technology,Odisha,45,3.35,30000,1600
PSG College of Technology,Tamil Nadu,46,3.48,8500,480
Sri Sivasubramaniya Nadar College of Engineering,Tamil Nadu,47,3.46,6200,380
National Institute of Technology Durgapur,West Bengal,48,3.38,4800,320
College of Engineering Pune,Maharashtra,49,3.44,7200,420
Indian Institute of Engineering Science and Technology Shibpur,West Bengal,50,3.42,4500,300
University of Delhi,Delhi,55,3.68,132000,5500
University of Mumbai,Maharashtra,60,3.55,850000,12000
University of Calcutta,West Bengal,65,3.52,18000,900
Banaras Hindu University,Uttar Pradesh,58,3.72,30000,1800
Jawaharlal Nehru University,Delhi,62,3.75,8500,550
University of Hyderabad,Telangana,68,3.58,5200,420
Panjab University,Punjab,72,3.5,15000,780
Savitribai Phule Pune University,Maharashtra,75,3.48,680000,8500
Osmania University,Telangana,78,3.42,42000,2200
Andhra University,Andhra Pradesh,82,3.4,28000,1400
Madurai Kamaraj University,Tamil Nadu,88,3.38,95000,3200
Bharathiar University,Tamil Nadu,90,3.36,120000,3800
University of Kerala,Kerala,92,3.44,18000,950
Gujarat University,Gujarat,95,3.35,220000,4500
Rajasthan University,Rajasthan,98,3.32,85000,2800
University of Rajasthan,Rajasthan,99,3.34,82000,2700
Gauhati University,Assam,105,3.3,12000,650
Patna University,Bihar,110,3.28,25000,1200
University of Lucknow,Uttar Pradesh,112,3.3,42000,1800
Dr. B. R. Ambedkar University Delhi,Delhi,115,3.25,8500,420
Visvesvaraya Technological University,Karnataka,118,3.28,320000,6500
Dr. A.P.J. Abdul Kalam Technical University,Uttar Pradesh,120,3.22,450000,8000
Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,52,3.4,4800,310
Malaviya National Institute of Technology Jaipur,Rajasthan,54,3.38,4500,300
Motilal Nehru National Institute of Technology Allahabad,Uttar Pradesh,56,3.36,4200,290
National Institute of Technology Silchar,Assam,57,3.34,3800,270
National Institute of Technology Hamirpur,Himachal Pradesh,59,3.32,3600,260
National Institute of Technology Meghalaya,Meghalaya,61,3.2,1200,110
National Institute of Technology Nagaland,Nagaland,63,3.18,900,85
National Institute of Technology Patna,Bihar,64,3.28,2800,200
National Institute of Technology Raipur,Chhattisgarh,66,3.26,3200,220
National Institute of Technology Srinagar,Jammu and Kashmir,67,3.24,2800,210
National Institute of Technology Jamshedpur,Jharkhand,69,3.3,3500,240
National Institute of Technology Kurukshetra,Haryana,70,3.32,4000,280
National Institute of Technology Surathkal,Karnataka,21,3.5,6200,400
Indian Institute of Science Bengaluru,Karnataka,1,3.92,4200,520
All India Institute of Medical Sciences New Delhi,Delhi,1,3.85,2800,850
Post Graduate Institute of Medical Education and Research Chandigarh,Punjab,2,3.8,1200,420
Christian Medical College Vellore,Tamil Nadu,3,3.78,2500,680
National Law School of India University,Karnataka,1,3.7,1200,95
Indian Institute of Management Ahmedabad,Gujarat,1,3.65,1100,120
Indian Institute of Management Bangalore,Karnataka,2,3.68,1200,130
Indian Institute of Management Calcutta,West Bengal,3,3.66,1150,125
Tata Institute of Social Sciences,Maharashtra,80,3.55,5500,380
TERI School of Advanced Studies,Delhi,130,3.3,1800,150
Symbiosis International University,Maharashtra,85,3.48,22000,1200
Bharati Vidyapeeth Deemed University,Maharashtra,92,3.35,28000,1500
Lovely Professional University,Punjab,100,3.32,35000,2000
Chandigarh University,Punjab,105,3.3,28000,1600
Graphic Era University,Uttarakhand,125,3.22,15000,850
Shiv Nadar University,Uttar Pradesh,88,3.45,4500,320
Ashoka University,Haryana,95,3.4,2800,220
O.P. Jindal Global University,Haryana,90,3.42,6500,450
Azim Premji University,Karnataka,110,3.38,2200,180
FLAME University,Maharashtra,115,3.28,3500,250
Christ University,Karnataka,98,3.42,22000,1400
Presidency University Bengaluru,Karnataka,120,3.25,8500,520
REVA University,Karnataka,128,3.22,18000,950
PES University,Karnataka,75,3.38,12000,680
RV College of Engineering,Karnataka,78,3.36,4200,280
BMS College of Engineering,Karnataka,82,3.34,4800,310
MS Ramaiah Institute of Technology,Karnataka,85,3.32,5200,340
Dayananda Sagar College of Engineering,Karnataka,88,3.28,6500,380
Sir M. Visvesvaraya Institute of Technology,Karnataka,92,3.26,3800,240
Coimbatore Institute of Technology,Tamil Nadu,95,3.3,4200,260
Kumaraguru College of Technology,Tamil Nadu,98,3.28,5500,320
Thiagarajar College of Engineering,Tamil Nadu,102,3.26,4800,290
Government College of Technology Coimbatore,Tamil Nadu,105,3.24,3500,220
Mepco Schlenk Engineering College,Tamil Nadu,108,3.22,3200,200
National Institute of Fashion Technology,Delhi,1,3.4,3500,280
Indian Statistical Institute Kolkata,West Bengal,45,3.6,1200,150
Indian Institute of Foreign Trade,Delhi,40,3.55,1800,120
Indian Institute of Mass Communication,Delhi,50,3.35,900,75
University of Madras,Tamil Nadu,124,2.88,8000,400
Bangalore University,Karnataka,125,2.88,8350,415
University of Mysore,Karnataka,126,2.87,8700,430
Gulbarga University,Karnataka,127,2.87,9050,445
University of Burdwan,West Bengal,128,2.86,9400,460
North Bengal University,West Bengal,129,2.85,9750,475
Ranchi University,Jharkhand,130,2.85,10100,490
Vinoba Bhave University,Jharkhand,131,2.85,10450,505
Utkal University,Odisha,132,2.84,10800,520
Sambalpur University,Odisha,133,2.83,11150,535
Berhampur University,Odisha,134,2.83,11500,550
Guru Ghasidas Vishwavidyalaya,Chhattisgarh,135,2.83,11850,565
Pt. Ravishankar Shukla University,Chhattisgarh,136,2.82,12200,580
Devi Ahilya Vishwavidyalaya,Madhya Pradesh,137,2.81,12550,595
Jiwaji University,Madhya Pradesh,138,2.81,12900,610
Rani Durgavati Vishwavidyalaya,Madhya Pradesh,139,2.81,13250,625
Dr. Harisingh Gour Vishwavidyalaya,Madhya Pradesh,140,2.8,13600,640
Mahatma Gandhi University Kottayam,Kerala,141,2.79,13950,655
Calicut University,Kerala,142,2.79,14300,670
Kannur University,Kerala,143,2.79,14650,685
Sree Sankaracharya University of Sanskrit,Kerala,144,2.78,15000,700
Maharaja Ganga Singh University,Rajasthan,145,2.77,15350,715
Mohanlal Sukhadia University,Rajasthan,146,2.77,15700,730
Jai Narain Vyas University,Rajasthan,147,2.77,16050,745
Veer Surendra Sai University of Technology,Odisha,148,2.76,16400,760
Indira Gandhi National Open University,Delhi,149,2.75,16750,775
English and Foreign Languages University,Telangana,150,2.75,17100,790
Central University of Punjab,Punjab,151,2.75,17450,805
Central University of Gujarat,Gujarat,152,2.74,17800,820
Central University of Kashmir,Jammu and Kashmir,153,2.73,18150,835
Central University of Himachal Pradesh,Himachal Pradesh,154,2.73,18500,850
Central University of Haryana,Haryana,155,2.73,18850,865
Central University of Jharkhand,Jharkhand,156,2.72,19200,880
Central University of Karnataka,Karnataka,157,2.71,19550,895
Central University of Kerala,Kerala,158,2.71,19900,910
Central University of Tamil Nadu,Tamil Nadu,159,2.71,20250,925
Central University of Rajasthan,Rajasthan,160,2.7,20600,940
Central University of South Bihar,Bihar,161,2.69,20950,955
Central University of Jammu,Jammu and Kashmir,162,2.69,21300,970
